,empresa,data,vl_abertura,vl_minimo,vl_maximo,vl_fechamento,pc_variacao_dia,qt_negociacoes,vl_dividendo,pc_desdobramento,vl_dolar,pc_inflacao_mes,pc_taxa_selic,lpa,pl,pvp,p_ebit,p_ebitda,ebitda,roe,roic,dy,payout,vl_receita_liquida,vl_resultado_bruto,pc_margem_bruta,vl_resultado_operacional,vl_lucro_liquido,pc_margem_liquida,vl_mercado_empresa,qt_acoes_empresa,tp_governanca_empresa,qt_investidores_pf,qt_investidores_pj,qt_investidores_institucionais
4340,CMIG,2001-01-02 02:00:00.000,1994.81328500856,1994.81328500856,2104.897399474917,2070.1728515625,3.77777544997734,815719,0.0,0.0,1.9384,0.57,15.49,3.31,9.97,0.76,6.19,6.19,847.0,8.0,7.0,6.72,0.0,4589.0,4589.0,100.0,847.0,526.0,11.0,22850230980.0,2201371000.0,Nível 1,190465,1952,1847
4341,CMIG,2001-01-03 02:00:00.000,2033.9703819550575,2030.276338301506,2268.1760769579564,2253.39990234375,10.788235774494218,2050552,0.0,0.0,1.9422,0.57,15.49,3.31,9.97,0.76,6.19,6.19,847.0,8.0,7.0,6.72,0.0,4589.0,4589.0,100.0,847.0,526.0,11.0,22850230980.0,2201371000.0,Nível 1,190465,1952,1847
4342,CMIG,2001-01-04 02:00:00.000,2251.9229549273973,2238.624127628213,2364.223512546177,2290.341552734375,1.7060351786420829,2095562,0.0,0.0,1.9357,0.57,15.49,3.31,9.97,0.76,6.19,6.19,847.0,8.0,7.0,6.72,0.0,4589.0,4589.0,100.0,847.0,526.0,11.0,22850230980.0,2201371000.0,Nível 1,190465,1952,1847
4343,CMIG,2001-01-05 02:00:00.000,2275.564430454478,2216.4588003346885,2341.31933915066,2253.39990234375,-0.974023315450634,1259182,0.0,0.0,1.9484,0.57,15.49,3.31,9.97,0.76,6.19,6.19,847.0,8.0,7.0,6.72,0.0,4589.0,4589.0,100.0,847.0,526.0,11.0,22850230980.0,2201371000.0,Nível 1,190465,1952,1847
4344,CMIG,2001-01-08 02:00:00.000,2253.400019239786,2201.682606838948,2322.110166423176,2305.117431640625,2.2950835164316,1424835,0.0,0.0,1.9524,0.57,15.49,3.31,9.97,0.76,6.19,6.19,847.0,8.0,7.0,6.72,0.0,4589.0,4589.0,100.0,847.0,526.0,11.0,22850230980.0,2201371000.0,Nível 1,190465,1952,1847
4345,CMIG,2001-01-09 02:00:00.000,2305.117976894582,2305.117976894582,2382.69384765625,2382.69384765625,3.3653752883475745,3777177,0.0,0.0,1.9441,0.57,15.49,3.31,9.97,0.76,6.19,6.19,847.0,8.0,7.0,6.72,0.0,4589.0,4589.0,100.0,847.0,526.0,11.0,22850230980.0,2201371000.0,Nível 1,190465,1952,1847
4346,CMIG,2001-01-10 02:00:00.000,2363.483982190063,2327.281953340741,2393.036865234375,2393.036865234375,1.2503948944442325,1432582,0.0,0.0,1.9429,0.57,15.49,3.31,9.97,0.76,6.19,6.19,847.0,8.0,7.0,6.72,0.0,4589.0,4589.0,100.0,847.0,526.0,11.0,22850230980.0,2201371000.0,Nível 1,190465,1952,1847
4347,CMIG,2001-01-11 02:00:00.000,2378.261088722183,2342.059049750038,2423.3291015625,2423.3291015625,1.894998537125775,1018634,0.0,0.0,1.9463,0.57,15.49,3.31,9.97,0.76,6.19,6.19,847.0,8.0,7.0,6.72,0.0,4589.0,4589.0,100.0,847.0,526.0,11.0,22850230980.0,2201371000.0,Nível 1,190465,1952,1847
4348,CMIG,2001-01-12 02:00:00.000,2423.329401303891,2349.447430085196,2427.023579721687,2357.574462890625,-2.71341314052831,997605,0.0,0.0,1.9508,0.57,15.49,3.31,9.97,0.76,6.19,6.19,847.0,8.0,7.0,6.72,0.0,4589.0,4589.0,100.0,847.0,526.0,11.0,22850230980.0,2201371000.0,Nível 1,190465,1952,1847
4349,CMIG,2001-01-15 02:00:00.000,2382.6942492979406,2364.2238894948496,2415.202380683666,2386.388427734375,0.1550420679246991,520939,0.0,0.0,1.9475,0.57,15.49,3.31,9.97,0.76,6.19,6.19,847.0,8.0,7.0,6.72,0.0,4589.0,4589.0,100.0,847.0,526.0,11.0,22850230980.0,2201371000.0,Nível 1,190465,1952,1847
4350,CMIG,2001-01-16 02:00:00.000,2376.045238233308,2349.4478410653905,2401.165283203125,2401.165283203125,1.0572208207826468,2000745,0.0,0.0,1.9516,0.57,15.49,3.31,9.97,0.76,6.19,6.19,847.0,8.0,7.0,6.72,0.0,4589.0,4589.0,100.0,847.0,526.0,11.0,22850230980.0,2201371000.0,Nível 1,190465,1952,1847
4351,CMIG,2001-01-17 02:00:00.000,2393.7764701562314,2364.962517787865,2489.823244240321,2463.2255859375,2.9012364624310947,2149058,0.0,0.0,1.9501,0.57,15.49,3.31,9.97,0.76,6.19,6.19,847.0,8.0,7.0,6.72,0.0,4589.0,4589.0,100.0,847.0,526.0,11.0,22850230980.0,2201371000.0,Nível 1,190465,1952,1847
4352,CMIG,2001-01-18 02:00:00.000,2463.225287893728,2449.1877844821483,2563.704904140673,2531.19677734375,2.7594507812212186,2706522,0.0,0.0,1.9527,0.57,15.49,3.31,9.97,0.76,6.19,6.19,847.0,8.0,7.0,6.72,0.0,4589.0,4589.0,100.0,847.0,526.0,11.0,22850230980.0,2201371000.0,Nível 1,190465,1952,1847
4353,CMIG,2001-01-19 02:00:00.000,2528.9802885744048,2505.33813486973,2585.8695120710545,2511.987548828125,-0.6719206085967019,2297370,0.0,0.0,1.9553,0.57,15.49,3.31,9.97,0.76,6.19,6.19,847.0,8.0,7.0,6.72,0.0,4589.0,4589.0,100.0,847.0,526.0,11.0,22850230980.0,2201371000.0,Nível 1,190465,1952,1847
4354,CMIG,2001-01-22 02:00:00.000,2489.822583411305,2452.88160816494,2497.210671984793,2461.747314453125,-1.1276011851300078,1470583,0.0,0.0,1.9571,0.57,15.49,3.31,9.97,0.76,6.19,6.19,847.0,8.0,7.0,6.72,0.0,4589.0,4589.0,100.0,847.0,526.0,11.0,22850230980.0,2201371000.0,Nível 1,190465,1952,1847
