,empresa,data,vl_abertura,vl_minimo,vl_maximo,vl_fechamento,pc_variacao_dia,qt_negociacoes,vl_dividendo,pc_desdobramento,vl_dolar,pc_inflacao_mes,pc_taxa_selic,lpa,pl,pvp,p_ebit,p_ebitda,ebitda,roe,roic,dy,payout,vl_receita_liquida,vl_resultado_bruto,pc_margem_bruta,vl_resultado_operacional,vl_lucro_liquido,pc_margem_liquida,vl_mercado_empresa,qt_acoes_empresa,tp_governanca_empresa,qt_investidores_pf,qt_investidores_pj,qt_investidores_institucionais
23300,CPFE,2004-01-02 02:00:00.000,0.203618973493576,0.203618973493576,0.203618973493576,0.203618973493576,0.0,0,0.0,0.0,2.8862,0.76,16.32,0.74,24.21,1.92,6.42,6.42,1.26,8.0,11.0,0.0,0.0,6736.0,177.0,26.0,1264.0,335.0,5.0,40398025240.0,1152254000.0,Novo Mercado,43050,4916,906
23301,CPFE,2004-01-05 02:00:00.000,0.203618973493576,0.203618973493576,0.203618973493576,0.203618973493576,0.0,0,0.0,0.0,2.8627,0.76,16.32,0.74,24.21,1.92,6.42,6.42,1.26,8.0,11.0,0.0,0.0,6736.0,177.0,26.0,1264.0,335.0,5.0,40398025240.0,1152254000.0,Novo Mercado,43050,4916,906
23302,CPFE,2004-01-06 02:00:00.000,0.203618973493576,0.203618973493576,0.203618973493576,0.203618973493576,0.0,0,0.0,0.0,2.8508,0.76,16.32,0.74,24.21,1.92,6.42,6.42,1.26,8.0,11.0,0.0,0.0,6736.0,177.0,26.0,1264.0,335.0,5.0,40398025240.0,1152254000.0,Novo Mercado,43050,4916,906
23303,CPFE,2004-01-07 02:00:00.000,0.203618973493576,0.203618973493576,0.203618973493576,0.203618973493576,0.0,0,0.0,0.0,2.8723,0.76,16.32,0.74,24.21,1.92,6.42,6.42,1.26,8.0,11.0,0.0,0.0,6736.0,177.0,26.0,1264.0,335.0,5.0,40398025240.0,1152254000.0,Novo Mercado,43050,4916,906
23304,CPFE,2004-01-08 02:00:00.000,0.203618973493576,0.203618973493576,0.203618973493576,0.203618973493576,0.0,0,0.0,0.0,2.8588,0.76,16.32,0.74,24.21,1.92,6.42,6.42,1.26,8.0,11.0,0.0,0.0,6736.0,177.0,26.0,1264.0,335.0,5.0,40398025240.0,1152254000.0,Novo Mercado,43050,4916,906
23305,CPFE,2004-01-09 02:00:00.000,0.203618973493576,0.203618973493576,0.203618973493576,0.203618973493576,0.0,0,0.0,0.0,2.8422,0.76,16.32,0.74,24.21,1.92,6.42,6.42,1.26,8.0,11.0,0.0,0.0,6736.0,177.0,26.0,1264.0,335.0,5.0,40398025240.0,1152254000.0,Novo Mercado,43050,4916,906
23306,CPFE,2004-01-12 02:00:00.000,0.203618973493576,0.203618973493576,0.203618973493576,0.203618973493576,0.0,0,0.0,0.0,2.8163,0.76,16.32,0.74,24.21,1.92,6.42,6.42,1.26,8.0,11.0,0.0,0.0,6736.0,177.0,26.0,1264.0,335.0,5.0,40398025240.0,1152254000.0,Novo Mercado,43050,4916,906
23307,CPFE,2004-01-13 02:00:00.000,0.203618973493576,0.203618973493576,0.203618973493576,0.203618973493576,0.0,0,0.0,0.0,2.8022,0.76,16.32,0.74,24.21,1.92,6.42,6.42,1.26,8.0,11.0,0.0,0.0,6736.0,177.0,26.0,1264.0,335.0,5.0,40398025240.0,1152254000.0,Novo Mercado,43050,4916,906
23308,CPFE,2004-01-14 02:00:00.000,0.203618973493576,0.203618973493576,0.203618973493576,0.203618973493576,0.0,0,0.0,0.0,2.8142,0.76,16.32,0.74,24.21,1.92,6.42,6.42,1.26,8.0,11.0,0.0,0.0,6736.0,177.0,26.0,1264.0,335.0,5.0,40398025240.0,1152254000.0,Novo Mercado,43050,4916,906
23309,CPFE,2004-01-15 02:00:00.000,0.203618973493576,0.203618973493576,0.203618973493576,0.203618973493576,0.0,0,0.0,0.0,2.8126,0.76,16.32,0.74,24.21,1.92,6.42,6.42,1.26,8.0,11.0,0.0,0.0,6736.0,177.0,26.0,1264.0,335.0,5.0,40398025240.0,1152254000.0,Novo Mercado,43050,4916,906
23310,CPFE,2004-01-16 02:00:00.000,0.203618973493576,0.203618973493576,0.203618973493576,0.203618973493576,0.0,0,0.0,0.0,2.8184,0.76,16.32,0.74,24.21,1.92,6.42,6.42,1.26,8.0,11.0,0.0,0.0,6736.0,177.0,26.0,1264.0,335.0,5.0,40398025240.0,1152254000.0,Novo Mercado,43050,4916,906
23311,CPFE,2004-01-19 02:00:00.000,0.203618973493576,0.203618973493576,0.203618973493576,0.203618973493576,0.0,0,0.0,0.0,2.8419,0.76,16.32,0.74,24.21,1.92,6.42,6.42,1.26,8.0,11.0,0.0,0.0,6736.0,177.0,26.0,1264.0,335.0,5.0,40398025240.0,1152254000.0,Novo Mercado,43050,4916,906
23312,CPFE,2004-01-20 02:00:00.000,0.203618973493576,0.203618973493576,0.203618973493576,0.203618973493576,0.0,0,0.0,0.0,2.8382,0.76,16.32,0.74,24.21,1.92,6.42,6.42,1.26,8.0,11.0,0.0,0.0,6736.0,177.0,26.0,1264.0,335.0,5.0,40398025240.0,1152254000.0,Novo Mercado,43050,4916,906
23313,CPFE,2004-01-21 02:00:00.000,0.203618973493576,0.203618973493576,0.203618973493576,0.203618973493576,0.0,0,0.0,0.0,2.8417,0.76,16.32,0.74,24.21,1.92,6.42,6.42,1.26,8.0,11.0,0.0,0.0,6736.0,177.0,26.0,1264.0,335.0,5.0,40398025240.0,1152254000.0,Novo Mercado,43050,4916,906
