,empresa,data,vl_abertura,vl_minimo,vl_maximo,vl_fechamento,pc_variacao_dia,qt_negociacoes,vl_dividendo,pc_desdobramento,vl_dolar,pc_inflacao_mes,pc_taxa_selic,lpa,pl,pvp,p_ebit,p_ebitda,ebitda,roe,roic,dy,payout,vl_receita_liquida,vl_resultado_bruto,pc_margem_bruta,vl_resultado_operacional,vl_lucro_liquido,pc_margem_liquida,vl_mercado_empresa,qt_acoes_empresa,tp_governanca_empresa,qt_investidores_pf,qt_investidores_pj,qt_investidores_institucionais
47646,EQTL,2008-04-07 03:00:00.000,10.426990285132868,10.135733604431152,10.426990285132868,10.135733604431152,-2.793295790416121,0,0.0,0.0,1.699,0.55,11.37,4.92,2.04,0.64,1.65,1.32,803.0,32.0,14.0,22.05,40.0,2349.0,837.0,36.0,642.0,520.0,22.0,34585306200.0,1147108000.0,Novo Mercado,63146,2460,0
47647,EQTL,2008-04-08 03:00:00.000,2.024751780894896,2.024751780894896,2.1062069723755736,2.0945708751678467,3.4482791881823944,887987,0.0,0.0,1.7038,0.55,11.37,4.92,2.04,0.64,1.65,1.32,803.0,32.0,14.0,22.05,40.0,2349.0,837.0,36.0,642.0,520.0,22.0,34585306200.0,1147108000.0,Novo Mercado,63146,2460,0
47648,EQTL,2008-04-09 03:00:00.000,2.0945708751678467,2.036387878102623,2.0945708751678467,2.0945708751678467,0.0,806529,0.0,0.0,1.6878,0.55,11.37,4.92,2.04,0.64,1.65,1.32,803.0,32.0,14.0,22.05,40.0,2349.0,837.0,36.0,642.0,520.0,22.0,34585306200.0,1147108000.0,Novo Mercado,63146,2460,0
47649,EQTL,2008-04-10 03:00:00.000,2.094570914521764,2.0724611854995607,2.145771026611328,2.145771026611328,2.44442008311063,847258,0.0,0.0,1.6822,0.55,11.37,4.92,2.04,0.64,1.65,1.32,803.0,32.0,14.0,22.05,40.0,2349.0,837.0,36.0,642.0,520.0,22.0,34585306200.0,1147108000.0,Novo Mercado,63146,2460,0
47650,EQTL,2008-04-11 03:00:00.000,2.145770688819455,2.1352977563796744,2.186498557916496,2.1527528762817383,0.3253929927677736,1309857,0.0,0.0,1.6876,0.55,11.37,4.92,2.04,0.64,1.65,1.32,803.0,32.0,14.0,22.05,40.0,2349.0,837.0,36.0,642.0,520.0,22.0,34585306200.0,1147108000.0,Novo Mercado,63146,2460,0
47651,EQTL,2008-04-14 03:00:00.000,2.1527530513786,2.024751664881953,2.1527530513786,2.0480244159698486,-4.864869908867811,675292,0.0,0.0,1.6867,0.55,11.37,4.92,2.04,0.64,1.65,1.32,803.0,32.0,14.0,22.05,40.0,2349.0,837.0,36.0,642.0,520.0,22.0,34585306200.0,1147108000.0,Novo Mercado,63146,2460,0
47652,EQTL,2008-04-15 03:00:00.000,2.0829343020203077,2.066643038788861,2.129480509321669,2.071297645568848,-0.5586665138776982,325327,0.0,0.0,1.6822,0.55,11.37,4.92,2.04,0.64,1.65,1.32,803.0,32.0,14.0,22.05,40.0,2349.0,837.0,36.0,642.0,520.0,22.0,34585306200.0,1147108000.0,Novo Mercado,63146,2460,0
47653,EQTL,2008-04-16 03:00:00.000,2.128316562061905,2.0934070149159,2.1352980529866747,2.1166799068450928,-0.5467539662210105,519417,0.0,0.0,1.6699,0.55,11.37,4.92,2.04,0.64,1.65,1.32,803.0,32.0,14.0,22.05,40.0,2349.0,837.0,36.0,642.0,520.0,22.0,34585306200.0,1147108000.0,Novo Mercado,63146,2460,0
47654,EQTL,2008-04-17 03:00:00.000,2.11784325767112,2.114352512819408,2.292390823364258,2.292390823364258,8.241760340898805,859326,0.0,0.0,1.6588,0.55,11.37,4.92,2.04,0.64,1.65,1.32,803.0,32.0,14.0,22.05,40.0,2349.0,837.0,36.0,642.0,520.0,22.0,34585306200.0,1147108000.0,Novo Mercado,63146,2460,0
47655,EQTL,2008-04-18 03:00:00.000,2.3721263118699665,2.3112704271208604,2.3820619300604253,2.3597066402435303,-0.5235670446505724,965422,0.247009,0.0,1.6693,0.55,11.37,4.92,2.04,0.64,1.65,1.32,803.0,32.0,14.0,22.05,40.0,2349.0,837.0,36.0,642.0,520.0,22.0,34585306200.0,1147108000.0,Novo Mercado,63146,2460,0
