,empresa,data,vl_abertura,vl_minimo,vl_maximo,vl_fechamento,pc_variacao_dia,qt_negociacoes,vl_dividendo,pc_desdobramento,vl_dolar,pc_inflacao_mes,pc_taxa_selic,lpa,pl,pvp,p_ebit,p_ebitda,ebitda,roe,roic,dy,payout,vl_receita_liquida,vl_resultado_bruto,pc_margem_bruta,vl_resultado_operacional,vl_lucro_liquido,pc_margem_liquida,vl_mercado_empresa,qt_acoes_empresa,tp_governanca_empresa,qt_investidores_pf,qt_investidores_pj,qt_investidores_institucionais
51650,NEOE,2019-07-01 03:00:00.000,13.564835876520414,13.516561336093725,13.87861271643797,13.64529037475586,0.593110738440303,59343300,0.0,0.0,3.8193,0.19,6.4,1.9,13.07,1.57,7.07,5.42,5.57,12.0,9.0,0.0,30.16,28461.0,6374.0,22.0,4274.0,2311.0,8.0,23758963200.0,1212192000.0,Novo Mercado,63509,210,527
51651,NEOE,2019-07-02 03:00:00.000,13.79815498634524,13.677471719265917,14.28088958923353,14.216525077819824,3.032072707464207,15665900,0.0,0.0,3.8564,0.19,6.4,1.9,13.07,1.57,7.07,5.42,5.57,12.0,9.0,0.0,30.16,28461.0,6374.0,22.0,4274.0,2311.0,8.0,23758963200.0,1212192000.0,Novo Mercado,63509,210,527
51652,NEOE,2019-07-03 03:00:00.000,14.24066344534424,14.087797143461614,14.465938485412194,14.305027961730955,0.4519769506087208,10741700,0.0,0.0,3.8475,0.19,6.4,1.9,13.07,1.57,7.07,5.42,5.57,12.0,9.0,0.0,30.16,28461.0,6374.0,22.0,4274.0,2311.0,8.0,23758963200.0,1212192000.0,Novo Mercado,63509,210,527
51653,NEOE,2019-07-04 03:00:00.000,14.43454906429149,14.22203569549484,14.532632757192795,14.467244148254396,0.2265057523950393,3785600,0.278464,0.0,3.794,0.19,6.4,1.9,13.07,1.57,7.07,5.42,5.57,12.0,9.0,0.0,30.16,28461.0,6374.0,22.0,4274.0,2311.0,8.0,23758963200.0,1212192000.0,Novo Mercado,63509,210,527
51654,NEOE,2019-07-05 03:00:00.000,14.46724554324189,14.262905925732754,14.46724554324189,14.442724227905272,-0.1694953974709578,3336500,0.0,0.0,3.8204,0.19,6.4,1.9,13.07,1.57,7.07,5.42,5.57,12.0,9.0,0.0,30.16,28461.0,6374.0,22.0,4274.0,2311.0,8.0,23758963200.0,1212192000.0,Novo Mercado,63509,210,527
51655,NEOE,2019-07-08 03:00:00.000,14.45089874247186,14.352815035071366,14.565328435282732,14.54080867767334,0.6221753871766585,2872800,0.0,0.0,3.8065,0.19,6.4,1.9,13.07,1.57,7.07,5.42,5.57,12.0,9.0,0.0,30.16,28461.0,6374.0,22.0,4274.0,2311.0,8.0,23758963200.0,1212192000.0,Novo Mercado,63509,210,527
51656,NEOE,2019-07-10 03:00:00.000,14.589849045262204,14.475417799005838,14.867751050618631,14.818708419799805,1.5686205787846648,7661000,0.0,0.0,3.7697,0.19,6.4,1.9,13.07,1.57,7.07,5.42,5.57,12.0,9.0,0.0,30.16,28461.0,6374.0,22.0,4274.0,2311.0,8.0,23758963200.0,1212192000.0,Novo Mercado,63509,210,527
51657,NEOE,2019-07-11 03:00:00.000,14.835056805056524,14.565328556200502,14.998529132418572,14.671586036682127,-1.1019220925306903,2689300,0.0,0.0,3.7533,0.19,6.4,1.9,13.07,1.57,7.07,5.42,5.57,12.0,9.0,0.0,30.16,28461.0,6374.0,22.0,4274.0,2311.0,8.0,23758963200.0,1212192000.0,Novo Mercado,63509,210,527
51658,NEOE,2019-07-12 03:00:00.000,14.712450564772336,14.565325809686636,14.794186713040766,14.630714416503906,-0.5555576748318174,2351700,0.0,0.0,3.7452,0.19,6.4,1.9,13.07,1.57,7.07,5.42,5.57,12.0,9.0,0.0,30.16,28461.0,6374.0,22.0,4274.0,2311.0,8.0,23758963200.0,1212192000.0,Novo Mercado,63509,210,527
51659,NEOE,2019-07-15 03:00:00.000,14.712451108116026,14.39368183298282,14.7451461922258,14.548978805541992,-1.1111153496636292,2770900,0.0,0.0,3.7463,0.19,6.4,1.9,13.07,1.57,7.07,5.42,5.57,12.0,9.0,0.0,30.16,28461.0,6374.0,22.0,4274.0,2311.0,8.0,23758963200.0,1212192000.0,Novo Mercado,63509,210,527
